,gang_num_fcijk,worker_num_fcijk,vector_num_fcijk,Mean Squared Calc Time,Mean Squared Rmass Error,Mean Squared Rmom Error,Mean Squared Rener Error
2065,231424,1,128,0.0008036490905666648,7.948357237749749e-59,5.741602856769208e-51,1.4164879717314678e-49
2066,390656,1,96,0.0008625788199333309,7.937736586770032e-59,5.926897962845147e-51,1.4516857550219178e-49
2067,84480,1,96,0.0008143930787999981,8.40639547449788e-59,5.831794539331531e-51,1.4764926550953524e-49
2068,66048,1,64,0.0007275043431999985,9.359487964256656e-59,6.726310714629044e-51,1.6959627505739057e-49
2069,180224,1,64,0.0008321665574666649,9.469131894215354e-59,6.696422931556489e-51,1.675208815058224e-49
2070,103424,1,32,0.0008965363895333307,1.4793587191507358e-58,9.9673307347723e-51,2.664289698974411e-49
2071,223744,1,96,0.0008833890290999981,8.050645363145548e-59,5.798934235992081e-51,1.44742543993853e-49
2072,43520,1,128,0.0008699555763999979,8.102387415542531e-59,5.765216740201627e-51,1.4359478494873931e-49
2073,374784,1,64,0.0008523146864999974,9.605108437600246e-59,6.704659459372672e-51,1.7234456249731728e-49
2074,1536,1,32,0.0007758481280333319,4.484373384419936e-58,2.53886994472949e-50,8.77902644028471e-49
2075,344576,1,96,0.0007613894184333314,8.190201987922681e-59,5.884252144277674e-51,1.4605951991481316e-49
2076,335360,1,128,0.0007791235564999985,8.101415808869013e-59,5.815292040832281e-51,1.4454843404012811e-49
2077,35328,1,96,0.0007629718052333315,8.377269802721601e-59,5.934823568675009e-51,1.4590732065562782e-49
2078,19456,1,288,0.0008314448765999976,5.506017145866947e-59,3.864100396853266e-51,9.619649149321437e-50
2079,19456,1,224,0.0007707872320333307,6.319658759408133e-59,4.626190906475827e-51,1.1364607400981022e-49
2080,96256,1,64,0.0007650193149333309,9.430013980331469e-59,6.713006560396977e-51,1.6968524709885666e-49
2081,301056,1,128,0.0007983659514999979,8.065397038800522e-59,5.723714938031562e-51,1.4607982373886492e-49
2082,273920,1,32,0.0008401772787333318,1.4625543118607872e-58,9.999953784144258e-51,2.6229025789211456e-49
2083,379392,1,128,0.0008473754487666637,8.049032336492412e-59,5.758236858884301e-51,1.4279637332428573e-49
2084,317952,1,96,0.000762090120933331,8.19091269787287e-59,5.944817795319953e-51,1.4746617246818883e-49
2085,87040,1,224,0.000842447571033331,6.5457622750844665e-59,4.538108634556842e-51,1.1282430698823932e-49
2086,237568,1,96,0.000809800882366665,8.125843320879308e-59,5.898902710567714e-51,1.4855042332150502e-49
2087,380416,1,96,0.0007955044135666656,8.183795318326383e-59,5.927059075645398e-51,1.4679192516711307e-49
2088,446976,1,96,0.0009266945411666644,8.150630246172943e-59,5.90242600648841e-51,1.4812762715877534e-49
2089,150016,1,288,0.0009398793841333321,5.486519211517046e-59,3.9042415798626616e-51,9.603314910875704e-50
2090,18944,1,32,0.0007954647896999981,1.5434215367802342e-58,1.0137058519419447e-50,2.805590560126354e-49
2091,26112,1,160,0.000797126790633332,7.164203123147591e-59,5.1981091260115644e-51,1.2803753417522377e-49
2092,18944,1,128,0.0008095115922999976,8.21076910194217e-59,5.718812539537209e-51,1.4386733134643078e-49
2093,76800,1,192,0.0008276868701999978,6.66298055522375e-59,5.0029753270308705e-51,1.1551893354111351e-49
2094,14848,1,192,0.000871652286166665,6.7435702171016945e-59,4.908128002171634e-51,1.1803546125838256e-49
2095,411136,1,96,0.0009652987413666641,8.189489800152875e-59,5.8999554464478e-51,1.4440525932251342e-49
2096,408064,1,96,0.0008650195925333312,8.410114153500085e-59,5.907303994495825e-51,1.4839700685875576e-49
2097,91136,1,192,0.0008877761901999973,6.579614400061443e-59,4.86833754180859e-51,1.1963187030818951e-49
2098,10240,1,512,0.0009027917666999981,5.417058483360511e-59,3.868616029180065e-51,9.605065006894984e-50
2099,9728,1,96,0.0007646445550666646,8.265086164598028e-59,5.940371382132969e-51,1.5068030537333638e-49
2100,40448,1,32,0.0008090173729999972,1.4080569166603666e-58,9.753266555569167e-51,2.667191476021336e-49
